ccounty,precinct,office,district,candidate,party,votes
Cass,"City of Dowagiac, Ward 3, Precinct 3",Governor of Wayne State University,,Kathleen Oakford,NLP,5
Cass,"City of Dowagiac, Ward 3, Precinct 3",Governor of Wayne State University,,Unresolved Write-In,,0
Cass,"City of Dowagiac, Ward 3, Precinct 3",County Prosecuting Attorney,,Victor Fitz,REP,218
Cass,"City of Dowagiac, Ward 3, Precinct 3",County Prosecuting Attorney,,Unresolved Write-In,,8
Cass,"City of Dowagiac, Ward 3, Precinct 3",County Sheriff,,Clint Roach,REP,221
Cass,"City of Dowagiac, Ward 3, Precinct 3",County Sheriff,,Unresolved Write-In,,8
Cass,"City of Dowagiac, Ward 3, Precinct 3",County Clerk and Register of Deeds,,Monica McMichael,REP,219
Cass,"City of Dowagiac, Ward 3, Precinct 3",County Clerk and Register of Deeds,,Unresolved Write-In,,5
Cass,"City of Dowagiac, Ward 3, Precinct 3",County Treasurer,,Hope Anderson,REP,218
Cass,"City of Dowagiac, Ward 3, Precinct 3",County Treasurer,,Unresolved Write-In,,5
Cass,"City of Dowagiac, Ward 3, Precinct 3",County Drain Commissioner,,Jeff VanBelle,REP,214
Cass,"City of Dowagiac, Ward 3, Precinct 3",County Drain Commissioner,,Unresolved Write-In,,5
Cass,"City of Dowagiac, Ward 3, Precinct 3",County Surveyor,,Thomas A. Stephenson,NPA,91
Cass,"City of Dowagiac, Ward 3, Precinct 3",County Surveyor,,Unresolved Write-In,,6
Cass,"City of Dowagiac, Ward 3, Precinct 3",County Commissioner 2nd District,,Lois A. Koel,DEM,110
Cass,"City of Dowagiac, Ward 3, Precinct 3",County Commissioner 2nd District,,James Lawrence,REP,195
Cass,"City of Dowagiac, Ward 3, Precinct 3",County Commissioner 2nd District,,Unresolved Write-In,,1
Cass,"City of Dowagiac, Ward 3, Precinct 3",Justice of Supreme Court 8 Year Term,,Andrew Fink,,102
Cass,"City of Dowagiac, Ward 3, Precinct 3",Justice of Supreme Court 8 Year Term,,Kimberly Ann Thomas,,115
Cass,"City of Dowagiac, Ward 3, Precinct 3",Justice of Supreme Court 8 Year Term,,Total Unresolved Write-In,,7
Cass,"City of Dowagiac, Ward 3, Precinct 3",Justice of Supreme Court Partial Term Ending 01/01/2029,,Kyra Harris Bolden,,125
Cass,"City of Dowagiac, Ward 3, Precinct 3",Justice of Supreme Court Partial Term Ending 01/01/2029,,Patrick William O'Grady,,97
Cass,"City of Dowagiac, Ward 3, Precinct 3",Justice of Supreme Court Partial Term Ending 01/01/2029,,Unresolved Write-In,,6
Cass,"City of Dowagiac, Ward 3, Precinct 3",Judge of Court of Appeals 3rd District Incumbent Position,,Philip P. Mariani,,108
Cass,"City of Dowagiac, Ward 3, Precinct 3",Judge of Court of Appeals 3rd District Incumbent Position,,Christopher P. Yates,,150
Cass,"City of Dowagiac, Ward 3, Precinct 3",Judge of Court of Appeals 3rd District Incumbent Position,,Unresolved Write-In,,8
Cass,"City of Dowagiac, Ward 3, Precinct 3",Judge of Probate Court Incumbent Position,,Carol Montavon Bealor,,183
Cass,"City of Dowagiac, Ward 3, Precinct 3",Judge of Probate Court Incumbent Position,,Total Unresolved Write-In,,6
Cass,"City of Dowagiac, Ward 3, Precinct 3",Southwestern Michigan College Board of Trustees Member,,Dwight Dyes,,110
Cass,"City of Dowagiac, Ward 3, Precinct 3",Southwestern Michigan College Board of Trustees Member,,Elaine Foster,,148
Cass,"City of Dowagiac, Ward 3, Precinct 3",Southwestern Michigan College Board of Trustees Member,,Total Unresolved Write-In,,7
Cass,"City of Dowagiac, Ward 3, Precinct 3",Dowagiac Union Schools Board Member 4 Year Term,,Christina Carpenter,,115
Cass,"City of Dowagiac, Ward 3, Precinct 3",Dowagiac Union Schools Board Member 4 Year Term,,Tracey Hatcher,,105
Cass,"City of Dowagiac, Ward 3, Precinct 3",Dowagiac Union Schools Board Member 4 Year Term,,Dominique Hood-Charles,,89
Cass,"City of Dowagiac, Ward 3, Precinct 3",Dowagiac Union Schools Board Member 4 Year Term,,Randi Taggart,,144
Cass,"City of Dowagiac, Ward 3, Precinct 3",Dowagiac Union Schools Board Member 4 Year Term,,Unresolved Write-In,,4
Cass,"City of Dowagiac, Ward 3, Precinct 3",Dowagiac Union Schools Board Member Partial Term Ending 12/31/2026,,Jeff de Varona,,188
Cass,"City of Dowagiac, Ward 3, Precinct 3",Dowagiac Union Schools Board Member Partial Term Ending 12/31/2026,,Unresolved Write-In,,6
Cass,"City of Dowagiac Precincts 1,2 & 3",Registered Voters,,,,4060
Cass,"City of Dowagiac Precincts 1,2 & 3",Ballots Cast,,,,635
Cass,"City of Dowagiac Precincts 1,2 & 3",Straight Party Ticket,,Democratic Party,DEM,283
Cass,"City of Dowagiac Precincts 1,2 & 3",Straight Party Ticket,,Republican Party,REP,145
Cass,"City of Dowagiac Precincts 1,2 & 3",Straight Party Ticket,,Libertarian Party,LIB,1
Cass,"City of Dowagiac Precincts 1,2 & 3",Straight Party Ticket,,U.S. Taxpayers Party,UST,0
Cass,"City of Dowagiac Precincts 1,2 & 3",Straight Party Ticket,,Green Party,GRN,0
Cass,"City of Dowagiac Precincts 1,2 & 3",Straight Party Ticket,,Working Class Party,WCP,3
Cass,"City of Dowagiac Precincts 1,2 & 3",Straight Party Ticket,,Natural Law Party,NLP,3
Cass,"City of Dowagiac Precincts 1,2 & 3",Straight Party Ticket,,Unresolved Write-In,,0
Cass,"City of Dowagiac Precincts 1,2 & 3",President,,Kamala D. Harris/Tim Walz,DEM,422
Cass,"City of Dowagiac Precincts 1,2 & 3",President,,Donald J. Trump/JD Vance,REP,200
Cass,"City of Dowagiac Precincts 1,2 & 3",President,,Chase Oliver/Mike ter Maat,LIB,0
Cass,"City of Dowagiac Precincts 1,2 & 3",President,,Randall Terry/Stephen E. Broden,UST,0
Cass,"City of Dowagiac Precincts 1,2 & 3",President,,Jill Stein/Rudolph Ware,GRN,0
Cass,"City of Dowagiac Precincts 1,2 & 3",President,,"Robert F. Kennedy, Jr./Nicole Shanahan",NLP,2
Cass,"City of Dowagiac Precincts 1,2 & 3",President,,Joseph Kishore/Jerry White,NPA,0
Cass,"City of Dowagiac Precincts 1,2 & 3",President,,Cornel West/Melina Abdullah,NPA,1
Cass,"City of Dowagiac Precincts 1,2 & 3",President,,Peter Sonski,WRITE-IN,0
Cass,"City of Dowagiac Precincts 1,2 & 3",President,,Unresolved Write-in,,1
Cass,"City of Dowagiac Precincts 1,2 & 3",United States Senator,,Elissa Slotkin,DEM,399
Cass,"City of Dowagiac Precincts 1,2 & 3",United States Senator,,Mike Rogers,REP,202
Cass,"City of Dowagiac Precincts 1,2 & 3",United States Senator,,Joseph Solis-Mullen,LIB,8
Cass,"City of Dowagiac Precincts 1,2 & 3",United States Senator,,Dave Stein,UST,5
Cass,"City of Dowagiac Precincts 1,2 & 3",United States Senator,,Douglas P. Marsh,GRN,2
Cass,"City of Dowagiac Precincts 1,2 & 3",United States Senator,,Doug Dern,NLP,1
Cass,"City of Dowagiac Precincts 1,2 & 3",United States Senator,,Unresolved Write-In,,1
Cass,"City of Dowagiac Precincts 1,2 & 3",U.S. House,5,Libbi Urban,DEM,395
Cass,"City of Dowagiac Precincts 1,2 & 3",U.S. House,5,Tim Walberg,REP,212
Cass,"City of Dowagiac Precincts 1,2 & 3",U.S. House,5,James Bronke,GRN,5
Cass,"City of Dowagiac Precincts 1,2 & 3",U.S. House,5,Unresolved Write-In,,3
Cass,"City of Dowagiac Precincts 1,2 & 3",State House,37,Angela Jones,DEM,397
Cass,"City of Dowagiac Precincts 1,2 & 3",State House,37,Brad Paquette,REP,217
Cass,"City of Dowagiac Precincts 1,2 & 3",State House,37,Unresolved Write-In,,5
Cass,"City of Dowagiac Precincts 1,2 & 3",Member of the State Board of Education,,Theodore Jones,DEM,378
Cass,"City of Dowagiac Precincts 1,2 & 3",Member of the State Board of Education,,Adam Frederick Zemke,DEM,371
Cass,"City of Dowagiac Precincts 1,2 & 3",Member of the State Board of Education,,Tom McMillin,REP,186
Cass,"City of Dowagiac Precincts 1,2 & 3",Member of the State Board of Education,,Nikki Snyder,REP,204
Cass,"City of Dowagiac Precincts 1,2 & 3",Member of the State Board of Education,,Scotty Boman,LIB,9
Cass,"City of Dowagiac Precincts 1,2 & 3",Member of the State Board of Education,,Ted Gerrard,UST,9
Cass,"City of Dowagiac Precincts 1,2 & 3",Member of the State Board of Education,,Christine C. Schwartz,UST,10
Cass,"City of Dowagiac Precincts 1,2 & 3",Member of the State Board of Education,,Mary Anne Hering,WCP,24
Cass,"City of Dowagiac Precincts 1,2 & 3",Member of the State Board of Education,,Unresolved Write-In,,3
Cass,"City of Dowagiac Precincts 1,2 & 3",Regent of the University of Michigan,,Denise llitch,DEM,384
Cass,"City of Dowagiac Precincts 1,2 & 3",Regent of the University of Michigan,,Shauna Ryder Diggs,DEM,380
Cass,"City of Dowagiac Precincts 1,2 & 3",Regent of the University of Michigan,,Carl Meyers,REP,205
Cass,"City of Dowagiac Precincts 1,2 & 3",Regent of the University of Michigan,,Sevag Vartanian,REP,185
Cass,"City of Dowagiac Precincts 1,2 & 3",Regent of the University of Michigan,,Andrew Chadderdon,LIB,9
Cass,"City of Dowagiac Precincts 1,2 & 3",Regent of the University of Michigan,,Donna M. Oetman,UST,15
Cass,"City of Dowagiac Precincts 1,2 & 3",Regent of the University of Michigan,,Huwaida Arraf,WRITE-IN,0
Cass,"City of Dowagiac Precincts 1,2 & 3",Regent of the University of Michigan,,Unresolved Write-In,,4
Cass,"City of Dowagiac Precincts 1,2 & 3",Trustee of Michigan State University,,Rebecca Bahar-Cook,DEM,380
Cass,"City of Dowagiac Precincts 1,2 & 3",Trustee of Michigan State University,,Thomas Stallworth III,DEM,360
Cass,"City of Dowagiac Precincts 1,2 & 3",Trustee of Michigan State University,,Mike Balow,REP,201
Cass,"City of Dowagiac Precincts 1,2 & 3",Trustee of Michigan State University,,Julie Maday,REP,198
Cass,"City of Dowagiac Precincts 1,2 & 3",Trustee of Michigan State University,,Grant T. Baker,LIB,7
Cass,"City of Dowagiac Precincts 1,2 & 3",Trustee of Michigan State University,,Janet M. Sanger,UST,10
Cass,"City of Dowagiac Precincts 1,2 & 3",Trustee of Michigan State University,,John Paul Sanger,UST,9
Cass,"City of Dowagiac Precincts 1,2 & 3",Trustee of Michigan State University,,John Anthony La Pietra,GRN,4
Cass,"City of Dowagiac Precincts 1,2 & 3",Trustee of Michigan State University,,Unresolved Write-In,,6
Cass,"City of Dowagiac Precincts 1,2 & 3",Governor of Wayne State University,,Rasha Demashkieh,DEM,356
Cass,"City of Dowagiac Precincts 1,2 & 3",Governor of Wayne State University,,Mark T. Gaffney,DEM,377
Cass,"City of Dowagiac Precincts 1,2 & 3",Governor of Wayne State University,,Michael Busuito,REP,203
Cass,"City of Dowagiac Precincts 1,2 & 3",Governor of Wayne State University,,Sunny Reddy,REP,187
Cass,"City of Dowagiac Precincts 1,2 & 3",Governor of Wayne State University,,Farid Ishac,LIB,4
Cass,"City of Dowagiac Precincts 1,2 & 3",Governor of Wayne State University,,William Mohr Il,UST,13
Cass,"City of Dowagiac Precincts 1,2 & 3",Governor of Wayne State University,,Sami Makhoul,GRN,2
Cass,"City of Dowagiac Precincts 1,2 & 3",Governor of Wayne State University,,Suzanne Roehrig,WCP,21
Cass,"City of Dowagiac Precincts 1,2 & 3",Governor of Wayne State University,,Kathleen Oakford,NLP,4
Cass,"City of Dowagiac Precincts 1,2 & 3",Governor of Wayne State University,,Unresolved Write-In,,5
Cass,"City of Dowagiac Precincts 1,2 & 3",County Prosecuting Attorney,,Victor Fitz,REP,337
Cass,"City of Dowagiac Precincts 1,2 & 3",County Prosecuting Attorney,,Unresolved Write-In,,43
Cass,"City of Dowagiac Precincts 1,2 & 3",County Sheriff,,Clint Roach,REP,352
Cass,"City of Dowagiac Precincts 1,2 & 3",County Sheriff,,Unresolved Write-In,,38
Cass,"City of Dowagiac Precincts 1,2 & 3",County Clerk and Register of Deeds,,Monica McMichael,REP,350
Cass,"City of Dowagiac Precincts 1,2 & 3",County Clerk and Register of Deeds,,Unresolved Write-In,,36
Cass,"City of Dowagiac Precincts 1,2 & 3",County Treasurer,,Hope Anderson,REP,343
Cass,"City of Dowagiac Precincts 1,2 & 3",County Treasurer,,Total Unresolved Write-In,,36
Cass,"City of Dowagiac Precincts 1,2 & 3",County Drain Commissioner,,Jeff VanBelle,REP,339
Cass,"City of Dowagiac Precincts 1,2 & 3",County Drain Commissioner,,Unresolved Write-In,,39
Cass,"City of Dowagiac Precincts 1,2 & 3",County Surveyor,,Thomas A. Stephenson,NPA,325
Cass,"City of Dowagiac Precincts 1,2 & 3",County Surveyor,,Unresolved Write-In,,20
Cass,"City of Dowagiac Precincts 1,2 & 3",County Commissioner 1st District,,Minnie M. Warren,DEM,13
Cass,"City of Dowagiac Precincts 1,2 & 3",County Commissioner 1st District,,Tom Langley,REP,8
Cass,"City of Dowagiac Precincts 1,2 & 3",County Commissioner 1st District,,Ryan Charles Laylin,WRITE-IN,0
Cass,"City of Dowagiac Precincts 1,2 & 3",County Commissioner 1st District,,Unresolved Write-In,,0
Cass,"City of Dowagiac Precincts 1,2 & 3",County Commissioner 2nd District,,Lois A. Koel,DEM,385
Cass,"City of Dowagiac Precincts 1,2 & 3",County Commissioner 2nd District,,James Lawrence,REP,206
Cass,"City of Dowagiac Precincts 1,2 & 3",County Commissioner 2nd District,,Unresolved Write-In,,2
Cass,"City of Dowagiac Precincts 1,2 & 3",Justice of Supreme Court 8 Year Term,,Andrew Fink,,121
Cass,"City of Dowagiac Precincts 1,2 & 3",Justice of Supreme Court 8 Year Term,,Kimberly Ann Thomas,,362
Cass,"City of Dowagiac Precincts 1,2 & 3",Justice of Supreme Court 8 Year Term,,Unresolved Write-In,,9
Cass,"City of Dowagiac Precincts 1,2 & 3",Justice of Supreme Court Partial Term Ending 01/01/2029,,Kyra Harris Bolden,,370
Cass,"City of Dowagiac Precincts 1,2 & 3",Justice of Supreme Court Partial Term Ending 01/01/2029,,Patrick William O'Grady,,132
Cass,"City of Dowagiac Precincts 1,2 & 3",Justice of Supreme Court Partial Term Ending 01/01/2029,,Unresolved Write-In,,11
Cass,"City of Dowagiac Precincts 1,2 & 3",Judge of Court of Appeals 3rd District Incumbent Position,,Philip P. Mariani,,329
Cass,"City of Dowagiac Precincts 1,2 & 3",Judge of Court of Appeals 3rd District Incumbent Position,,Christopher P. Yates,,358
Cass,"City of Dowagiac Precincts 1,2 & 3",Judge of Court of Appeals 3rd District Incumbent Position,,Total Unresolved Write-In,,23
Cass,"City of Dowagiac Precincts 1,2 & 3",Judge of Probate Court Incumbent Position,,Carol Montavon Bealor,,402
Cass,"City of Dowagiac Precincts 1,2 & 3",Judge of Probate Court Incumbent Position,,Total Unresolved Write-In,,23
Cass,"City of Dowagiac Precincts 1,2 & 3",Southwestern Michigan College Board of Trustees Member,,Dwight Dyes,,333
Cass,"City of Dowagiac Precincts 1,2 & 3",Southwestern Michigan College Board of Trustees Member,,Elaine Foster,,379
Cass,"City of Dowagiac Precincts 1,2 & 3",Southwestern Michigan College Board of Trustees Member,,Unresolved Write-In,,20
Cass,"City of Dowagiac Precincts 1,2 & 3",Dowagiac Union Schools Board Member 4 Year Term,,Christina Carpenter,,330
Cass,"City of Dowagiac Precincts 1,2 & 3",Dowagiac Union Schools Board Member 4 Year Term,,Tracey Hatcher,,355
Cass,"City of Dowagiac Precincts 1,2 & 3",Dowagiac Union Schools Board Member 4 Year Term,,Dominique Hood-Charles,,296
Cass,"City of Dowagiac Precincts 1,2 & 3",Dowagiac Union Schools Board Member 4 Year Term,,Randi Taggart,,362
Cass,"City of Dowagiac Precincts 1,2 & 3",Dowagiac Union Schools Board Member 4 Year Term,,Unresolved Write-In,,17
Cass,"City of Dowagiac Precincts 1,2 & 3",Dowagiac Union Schools Board Member Partial Term Ending 12/31/2026,,Jeff de Varona,,423
Cass,"City of Dowagiac Precincts 1,2 & 3",Dowagiac Union Schools Board Member Partial Term Ending 12/31/2026,,Unresolved Write-In,,15
Cass,Cass County EV1,Registered Voters,,,,13036
Cass,Cass County EV1,Ballots Cast,,,,2759
Cass,Cass County EV1,Straight Party Ticket,,Democratic Party,DEM,312
Cass,Cass County EV1,Straight Party Ticket,,Republican Party,REP,1395
Cass,Cass County EV1,Straight Party Ticket,,Libertarian Party,LIB,4
Cass,Cass County EV1,Straight Party Ticket,,U.S. Taxpayers Party,UST,2
Cass,Cass County EV1,Straight Party Ticket,,Green Party,GRN,2
Cass,Cass County EV1,Straight Party Ticket,,Working Class Party,WCP,6
Cass,Cass County EV1,Straight Party Ticket,,Natural Law Party,NLP,0
Cass,Cass County EV1,Straight Party Ticket,,Unresolved Write-In,,0
Cass,Cass County EV1,President,,Kamala D. Harris/Tim Walz,DEM,552
Cass,Cass County EV1,President,,Donald J. Trump/JD Vance,REP,2181
Cass,Cass County EV1,President,,Chase Oliver/Mike ter Maat,LIB,5
Cass,Cass County EV1,President,,Randall Terry/Stephen E. Broden,UST,1
Cass,Cass County EV1,President,,Jill Stein/Rudolph Ware,GRN,2
Cass,Cass County EV1,President,,"Robert F. Kennedy, Jr./Nicole Shanahan",NLP,5
Cass,Cass County EV1,President,,Joseph Kishore/Jerry White,NPA,1
Cass,Cass County EV1,President,,Cornel West/Melina Abdullah,NPA,1
Cass,Cass County EV1,President,,Peter Sonski,WRITE-IN,0
Cass,Cass County EV1,President,,Unresolved Write-In,,3
Cass,Cass County EV1,United States Senator,,Elissa Slotkin,DEM,520
Cass,Cass County EV1,United States Senator,,Mike Rogers,REP,2145
Cass,Cass County EV1,United States Senator,,Joseph Solis-Mullen,LIB,19
Cass,Cass County EV1,United States Senator,,Dave Stein,UST,17
Cass,Cass County EV1,United States Senator,,Douglas P. Marsh,GRN,5
Cass,Cass County EV1,United States Senator,,Doug Dern,NLP,7
Cass,Cass County EV1,United States Senator,,Unresolved Write-In,,4
Cass,Cass County EV1,U.S. House,5,Libbi Urban,DEM,515
Cass,Cass County EV1,U.S. House,5,Tim Walberg,REP,2160
Cass,Cass County EV1,U.S. House,5,James Bronke,GRN,27
Cass,Cass County EV1,U.S. House,5,Unresolved Write-In,,4
Cass,Cass County EV1,State House,36,Erin L. Schultes,DEM,161
Cass,Cass County EV1,State House,36,Steve Carra,REP,593
Cass,Cass County EV1,State House,36,Unresolved Write-In,,3
Cass,Cass County EV1,State House,37,Angela Jones,DEM,359
Cass,Cass County EV1,State House,37,Brad Paquette,REP,1584
Cass,Cass County EV1,State House,37,Unresolved Write-In,,9
Cass,Cass County EV1,Member of the State Board of Education,,Theodore Jones,DEM,488
Cass,Cass County EV1,Member of the State Board of Education,,Adam Frederick Zemke,DEM,457
Cass,Cass County EV1,Member of the State Board of Education,,Tom McMillin,REP,2007
Cass,Cass County EV1,Member of the State Board of Education,,Nikki Snyder,REP,2001
Cass,Cass County EV1,Member of the State Board of Education,,Scotty Boman,LIB,40
Cass,Cass County EV1,Member of the State Board of Education,,Ted Gerrard,UST,36
Cass,Cass County EV1,Member of the State Board of Education,,Christine C. Schwartz,UST,31
Cass,Cass County EV1,Member of the State Board of Education,,Mary Anne Hering,WCP,63
Cass,Cass County EV1,Member of the State Board of Education,,Unresolved Write-In,,7
Cass,Cass County EV1,Regent of the University of Michigan,,Denise llitch,DEM,480
Cass,Cass County EV1,Regent of the University of Michigan,,Shauna Ryder Diggs,DEM,457
Cass,Cass County EV1,Regent of the University of Michigan,,Carl Meyers,REP,2058
Cass,Cass County EV1,Regent of the University of Michigan,,Sevag Vartanian,REP,1878
Cass,Cass County EV1,Regent of the University of Michigan,,Andrew Chadderdon,LIB,69
Cass,Cass County EV1,Regent of the University of Michigan,,Donna M. Oetman,UST,61
Cass,Cass County EV1,Regent of the University of Michigan,,Huwaida Arraf,WRITE-IN,0
Cass,Cass County EV1,Regent of the University of Michigan,,Unresolved Write-In,,7
Cass,Cass County EV1,Trustee of Michigan State University,,Rebecca Bahar-Cook,DEM,494
